상호,주소,가격,셀프,상표,구
재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1779,Y,HD현대오일뱅크,강동구
구천면주유소,서울 강동구 구천면로 357 (암사동),1824,N,HD현대오일뱅크,강동구
(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1835,Y,GS칼텍스,강동구
(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),1836,Y,GS칼텍스,강동구
대성석유(주)길동주유소,서울 강동구 천호대로 1168,1846,N,GS칼텍스,강동구
방아다리주유소,서울 강동구 동남로 811 (명일동),1849,Y,SK에너지,강동구
명일주유소,서울 강동구 고덕로 168 (명일동),1855,Y,SK에너지,강동구
지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1861,Y,GS칼텍스,강동구
(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),1868,Y,GS칼텍스,강동구
(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1870,Y,S-OIL,강동구
sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1879,Y,SK에너지,강동구
주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1885,N,SK에너지,강동구
천호현대주유소,서울 강동구 천중로 67 (천호동),2050,N,HD현대오일뱅크,강동구
광성주유소,서울 강동구 올림픽로 673 (천호동),2118,N,S-OIL,강동구
(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),1759,Y,HD현대오일뱅크,동대문구
풍한주유소,서울 동대문구 안암로 168,1765,N,SK에너지,동대문구
재정주유소,서울 동대문구 전농로 121 (전농동),1769,Y,HD현대오일뱅크,동대문구
재정제2주유소,서울 동대문구 사가정로 90 (전농동),1769,Y,HD현대오일뱅크,동대문구
삼영주유소,서울 동대문구 답십리로 258 (장안동),1787,N,SK에너지,동대문구
(주)경동주유소,서울 동대문구 이문로 191 (이문동),1795,Y,S-OIL,동대문구
열린주유소,서울 동대문구 한천로 263 (휘경동),1799,N,S-OIL,동대문구
대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1799,Y,GS칼텍스,동대문구
HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1809,N,HD현대오일뱅크,동대문구
홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1817,N,S-OIL,동대문구
(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1818,Y,SK에너지,동대문구
대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1819,Y,GS칼텍스,동대문구
동서울고속주유소,서울 동대문구 한천로 414,1819,Y,SK에너지,동대문구
한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1825,N,HD현대오일뱅크,동대문구
(주)파랑에너지,서울 동대문구 망우로 126,1825,Y,GS칼텍스,동대문구
오동나무주유소,서울 동대문구  한천로 81 (답십리동),1828,N,S-OIL,동대문구
배봉로주유소,서울 동대문구 서울시립대로 108,1835,Y,HD현대오일뱅크,동대문구
삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1858,Y,SK에너지,동대문구
지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1790,N,GS칼텍스,동작구
창원이엔지주유소,서울 동작구 사당로 59 (상도동),1799,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1799,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1809,Y,HD현대오일뱅크,동작구
지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),1819,Y,GS칼텍스,동작구
매일주유소,서울 동작구 상도로 139 (상도동),1829,Y,S-OIL,동작구
HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1829,Y,HD현대오일뱅크,동작구
HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),1839,N,HD현대오일뱅크,동작구
살피재주유소,서울 동작구 상도로 334,1925,N,SK에너지,동작구
성산대교셀프주유소,서울 마포구 성산로 144,1787,Y,HD현대오일뱅크,마포구
마포시엠주유소,서울 마포구 월드컵북로 62,1787,N,SK에너지,마포구
청원주유소,서울 마포구 월드컵북로 113 (성산동),1797,Y,HD현대오일뱅크,마포구
에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1835,Y,S-OIL,마포구
용강주유소,서울 마포구 토정로 258,1845,N,S-OIL,마포구
에스에스오토셀프,서울 마포구 서강로 76 (창전동),1855,Y,HD현대오일뱅크,마포구
(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),1865,N,SK에너지,마포구
성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1877,N,SK에너지,마포구
(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),1877,N,SK에너지,마포구
SK에너지(주) 안국주유소,서울 마포구 양화로 33,1919,N,SK에너지,마포구
SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1919,N,SK에너지,마포구
(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1782,Y,HD현대오일뱅크,서대문구
(주)한화미 구도일주유소 두꺼비,서울 서대문구 성산로 312,1782,Y,S-OIL,서대문구
(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),1782,Y,S-OIL,서대문구
지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1784,Y,GS칼텍스,서대문구
HD현대오일뱅크㈜직영 연세주유소,서울 서대문구 연희로 184,1785,Y,HD현대오일뱅크,서대문구
남정주유소,서울 서대문구 모래내로 243 (남가좌동),1788,N,GS칼텍스,서대문구
(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1789,N,HD현대오일뱅크,서대문구
HD현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1789,N,HD현대오일뱅크,서대문구
(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1808,Y,SK에너지,서대문구
중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1825,Y,SK에너지,서대문구
㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),1829,Y,S-OIL,서대문구
행촌제2주유소,서울 서대문구 성산로 490 (대신동),1843,Y,SK에너지,서대문구
삼미상사(주)서부주유소,서울 서대문구 성산로 255,1844,Y,SK에너지,서대문구
광호주유소,서울 서대문구 연희로 266 (홍은동),1858,N,SK에너지,서대문구
연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1858,N,SK에너지,서대문구
만남의광장주유소,서울 서초구 양재대로12길 73-71,1724,Y,알뜰(ex),서초구
(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1795,Y,SK에너지,서초구
양재최고주유소,서울 서초구 매헌로 72 (양재동),1795,N,S-OIL,서초구
(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1805,Y,GS칼텍스,서초구
극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),1805,Y,S-OIL,서초구
신반포주유소,서울 서초구 사평대로 94 (반포동),1806,Y,SK에너지,서초구
한독주유소,서울 서초구 방배로 218 (방배동),1806,Y,GS칼텍스,서초구
HD현대오일뱅크㈜직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1807,N,HD현대오일뱅크,서초구
에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1809,Y,S-OIL,서초구
HD현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1813,N,HD현대오일뱅크,서초구
태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1815,Y,SK에너지,서초구
서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1815,Y,GS칼텍스,서초구
서초하이웨이 주유소,서울 서초구 양재대로2길 100-30,1817,Y,S-OIL,서초구
에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),1819,Y,GS칼텍스,서초구
지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1819,N,GS칼텍스,서초구
반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1819,Y,GS칼텍스,서초구
말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1826,N,GS칼텍스,서초구
