순위,채널명,카테고리,구독자수,조회수,비디오수
1,BLACKPINK,음악/댄스/가수,91300000,33206830000,567
2,BANGTANTV,음악/댄스/가수,76400000,21348920000,2330
3,HYBE LABELS,음악/댄스/가수,72700000,29979900000,1428
4,SMTOWN,음악/댄스/가수,32100000,27856680000,4227
5,JYP Entertainment,음악/댄스/가수,27800000,20510660000,1833
6,Boram Tube Vlog [보람튜브 브이로그],키즈/어린이,26500000,11052880000,223
7,1MILLION Dance Studio,음악/댄스/가수,26200000,7970680000,6062
8,1theK (원더케이),음악/댄스/가수,24600000,24210180000,19215
9,Alan Becker,미분류,24200000,5788970000,172
10,Mnet K-POP,음악/댄스/가수,20600000,15290160000,33802
11,KBS WORLD TV,TV/방송,19200000,15380890000,65845
12,officialpsy,음악/댄스/가수,18200000,10860150000,131
13,Jane ASMR 제인,음식/요리/레시피,17800000,7329490000,1942
14,JFlaMusic,음악/댄스/가수,17500000,3823710000,333
15,TWICE,음악/댄스/가수,16300000,5311870000,1228
16,Hongyu ASMR 홍유,음식/요리/레시피,15200000,5193420000,651
17,BIGBANG,음악/댄스/가수,15100000,7948030000,776
19,GH'S,미분류,14600000,10346600000,583
18,서은일상이야기,키즈/어린이,14600000,600450000,366
20,Boram Tube ToysReview [보람튜브 토이리뷰],키즈/어린이,14500000,5024920000,626
21,승비니 Seungbini,미분류,14400000,10618610000,694
22,Stray Kids,음악/댄스/가수,14100000,3708440000,871
23,BIBO와 장난감,키즈/어린이,12900000,3197540000,194
24,[햄지]Hamzy,음식/요리/레시피,11800000,4071540000,693
25,CRAZY GREAPA,미분류,11400000,9346530000,839
26,핑크퐁 (인기 동요・동화),키즈/어린이,11200000,7214300000,3272
27,TOMORROW X TOGETHER OFFICIAL,음악/댄스/가수,11100000,1577070000,1687
29,토이몽 TV - ToyMong Tv,키즈/어린이,11000000,4518000000,1379
28,DuDuPopTOY,키즈/어린이,11000000,5107410000,2653
30,Stone Music Entertainment,음악/댄스/가수,10700000,9680530000,10529
31,MBCkpop,TV/방송,10500000,9194750000,47423
33,쏘영 Ssoyoung,음식/요리/레시피,10200000,1732990000,858
32,SEVENTEEN,음악/댄스/가수,10200000,4569100000,1648
34,Larva TUBA,키즈/어린이,10000000,4553810000,2130
35,EXO,음악/댄스/가수,9540000,1035980000,465
36,M2,TV/방송,9420000,8532480000,20951
37,Boram Tube [宝蓝和朋友们],키즈/어린이,9360000,2538150000,505
38,서은이야기[SeoeunStory],키즈/어린이,9330000,1832520000,1201
39,문복희 Eat with Boki,음식/요리/레시피,9240000,2625010000,758
40,Mnet TV,음악/댄스/가수,9070000,11733920000,22569
41,Serie A,해외,8990000,3580420000,26257
42,MBCentertainment,뉴스/정치/사회,8980000,17115780000,99806
43,iKON,음악/댄스/가수,8790000,2593120000,663
44,tzuyang쯔양,음식/요리/레시피,8760000,2106350000,585
45,이지금 [IU Official],음악/댄스/가수,8700000,2245120000,195
46,ITZY,음악/댄스/가수,8600000,2350770000,1257
47,ENHYPEN,음악/댄스/가수,8520000,1493720000,996
48,KBS Kpop,TV/방송,8150000,7656610000,41404
49,JTBC Entertainment,뉴스/정치/사회,7710000,11957320000,81011
50,스브스케이팝 X INKIGAYO,TV/방송,7690000,6176920000,33952
