rank,title,artist,album
1,Love Lee,AKMU (악뮤),Love Lee
2,Smoke (Prod. by Dynamicduo & Padi),다이나믹 듀오 & 이영지,스트릿 우먼 파이터2 (SWF2) 계급미션
3,후라이의 꿈,AKMU (악뮤),Love Lee
4,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
5,Seven (Feat. Latto) (Clean Ver.),정국,Seven (Clean Ver.)
6,헤어지자 말해요,박재정,1집 Alone
7,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
8,Fast Forward,전소미,GAME PLAN
9,I Love My Body,화사 (HWASA),I Love My Body
10,I AM,IVE (아이브),I've IVE
11,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
12,퀸카 (Queencard),(여자)아이들,I feel
13,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
14,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
15,Kitsch,IVE (아이브),I've IVE
16,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
17,Summer (Feat. BE'O (비오)),Paul Blanco,Summer
18,Spicy,aespa,MY WORLD - The 3rd Mini Album
19,Bubble,STAYC (스테이씨),TEENFRESH
20,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
21,Ditto,NewJeans,NewJeans 'OMG'
22,Somebody,디오 (D.O.),기대 - The 2nd Mini Album
23,Steal The Show,Lauv,엘리멘탈 (Original Motion Picture Soundtrack)
24,우리들의 블루스,임영웅,IM HERO
25,모래 알갱이,임영웅,모래 알갱이
26,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
27,I Don't Think That I Like Her,Charlie Puth,CHARLIE
28,심 (心),DK (디셈버),심 (心)
29,다시 만날 수 있을까,임영웅,IM HERO
30,Underwater,권은비,Lethality
31,After LIKE,IVE (아이브),After LIKE
32,무지개,임영웅,IM HERO
33,UNFORGIVEN (Feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
34,Polaroid,임영웅,Polaroid
35,London Boy,임영웅,Polaroid
36,아버지,임영웅,IM HERO
37,건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
38,A bientot,임영웅,IM HERO
39,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
40,LOVE DIVE,IVE (아이브),LOVE DIVE
41,손이 참 곱던 그대,임영웅,IM HERO
42,사랑해 진짜,임영웅,IM HERO
43,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
44,Click Like (Prod. by Crush) (Feat. Paul Blanco),Crush,스트릿 우먼 파이터2 (SWF2) 계급미션
45,CAKE,ITZY (있지),KILL MY DOUBT
46,연애편지,임영웅,IM HERO
47,인생찬가,임영웅,IM HERO
48,보금자리,임영웅,IM HERO
49,꽃,지수 (JISOO),ME
50,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
51,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
52,OMG,NewJeans,NewJeans 'OMG'
53,잠깐 시간 될까,이무진,잠깐 시간 될까
54,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
55,그라데이션,10CM,5.3
56,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
57,Teddy Bear,STAYC (스테이씨),Teddy Bear
58,주저하는 연인들을 위해,잔나비,전설
59,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
60,Monologue,테이 (Tei),Monologue
61,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면
62,예뻤어,DAY6 (데이식스),Every DAY6 February
63,가까이 하고 싶은 그대,SOLE (쏠),A Love Supreme
64,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
65,트월ㅋ (Prod. by Czaer),미연 ((여자)아이들) & 우기 ((여자)아이들),스트릿 우먼 파이터2 (SWF2) 계급미션
66,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
67,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
68,When I Get Old,Christopher & 청하,When I Get Old
69,희재,성시경,국화꽃 향기 OST
70,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
71,Stay,The Kid LAROI & Justin Bieber,Stay
72,나에게 그대만이,탑현,나에게 그대만이
73,That's Hilarious,Charlie Puth,CHARLIE
74,취중고백,김민석 (멜로망스),취중고백
75,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
76,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
77,TOMBOY,(여자)아이들,I NEVER DIE
78,Shut Down,BLACKPINK,BORN PINK
79,미친 사랑의 노래,김연지 & DK (디셈버),미친 사랑의 노래
80,그냥 그렇게 됐어,지아 (Zia),그냥 그렇게 됐어
81,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
82,The Drum,Alan Walker,"Walkerverse, Pt. I"
83,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
84,Get A Guitar,RIIZE,Get A Guitar
85,기적 (Wonder),디오 (D.O.),기대 - The 2nd Mini Album
86,첫 키스에 내 심장은 120BPM,경서,ONGOING
87,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
88,Off My Face,Justin Bieber,Justice
89,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
90,물론,허각,물론
