제목,저자,역자,출간일,페이지수,가격
관리회계 7판,James Jiambalvo,손성진,2023-09-01,572,36000
관리회계 연습문제 풀이집,손성진, ,2023-09-01,272,11700
"IT CookBook, 정보보안 이론과 실제(3판)",Mark Stamp,"김경곤, 장은경",2023-08-25,464,32000
패널데이터와 복합표본을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀, ,2023-08-18,468,34000
"IT CookBook, HTML5 웹 프로그래밍 입문(4판)",윤인성, ,2023-08-05,500,29000
"STEM CookBook, 경영경제수학 첫걸음","김진한, 이재원", ,2023-07-31,476,26000
논리력을 키우는 영어 글쓰기,이요안, ,2023-07-28,248,20000
"IT CookBook, 난생처음 데이터 분석 with 파이썬","김규석, 김주희, 이준", ,2023-07-24,512,26000
UML다이어그램을 활용한 소프트웨어 창의 설계,"박현석, 김연정, 김연우, 지현진", ,2023-07-13,352,24000
"IT CookBook, C 언어 자료구조와 알고리즘 for Beginner",우재남, ,2023-07-10,536,29000
"STEM CookBook, 문제 해결력을 키우는 유체역학",노형운, ,2023-07-10,728,33000
올인원 스프링 프레임워크,김명호, ,2023-07-10,628,30000
"STEM CookBook, TAO 해석학 Ⅰ(4판)",Terence Tao,"한빛수학교재연구소, 권순식(감수)",2023-07-09,420,28000
"IT CookBook, 난생처음 앱 인벤터",이종원, ,2023-06-30,476,26000
"IT CookBook, 난생처음 자바 프로그래밍",우재남, ,2023-06-30,568,29000
"STEM CookBook, 확률과 통계 입문(2판)",이재원, ,2023-06-30,500,25000
경영경제 통계학 노트,"장혜정, 김현우", ,2023-06-30,424,26000
"IT CookBook, 원리가 보이는 파이썬 빅데이터 분석 기초와 실습",천세학, ,2023-06-25,448,28000
"IT CookBook, Verilog HDL 설계",신경욱, ,2023-06-23,584,36000
미분기하학 바이블(2판),Manfredo P. do Carmo,"한빛수학교재연구소, 이재혁(감수)",2023-06-09,532,35000
알기 쉬운 회계원리 기초(4판),"김혁, 윤승준", ,2023-06-05,408,28000
"IT CookBook, 모두를 위한 R 데이터 분석 입문(2판)",오세종, ,2023-05-05,584,29000
처음 배우는 매트랩,방성완, ,2023-04-10,416,30000
SAS와 메타분석을 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀, ,2023-03-09,516,34000
정보교과교육론(3판),"최현종, 전용주", ,2023-03-01,488,30000
"IT CookBook, 기초전자실험 with PSpice(3판)",홍순관, ,2023-02-28,308,22000
경제수학 강의(3판),김성현, ,2023-02-28,464,23000
글로벌 사회와 리더십(2판),안광현, ,2023-02-28,416,28000
행동 재무론,고광수, ,2023-02-28,596,32000
"IT CookBook, 알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력","김충석, 김지연", ,2023-02-24,328,24000
MATLAB으로 배우는 공학 수치해석(3판),방성완, ,2023-02-20,360,28000
Cengel의 알기 쉬운 열역학(6판),"Yunus A. Çengel, John M. Cimbala, Afshin J. Ghajar","김택영, 한진호, 김덕종, 김우태, 이무연, 전문수",2023-02-17,528,34000
Cengel의 알기 쉬운 열전달(6판),"Yunus A. Çengel, John M. Cimbala, Afshin J. Ghajar","김택영, 김덕종, 김중배, 김혜민, 성연모, 이무연",2023-02-17,520,34000
"IT CookBook, 알기 쉽게 해설한 자바 프로그래밍(10판)",김충석, ,2023-02-12,780,30000
"IT CookBook, 비즈니스 애널리틱스를 위한 데이터 마이닝","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel","조성준, 조재희, 조성배, 이성임, 신현정, 김성범",2023-02-10,592,39000
현대경영과학(9판),김세헌, ,2023-01-31,592,35000
"IT CookBook, 네트워크 해킹과 보안(4판)","양대일, 홍성혁", ,2023-01-30,516,32000
"IT CookBook, 쉽게 배우는 운영체제(2판)",조성호, ,2023-01-30,616,32000
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(8판)","우재남, 박길식", ,2023-01-13,580,34000
"STEM CookBook, 전기 및 하이브리드 자동차(3판)",Iqbal Husain,"임원식, 김정윤, 김기찬, 강동우",2023-01-10,592,35000
"IT CookBook, 컴퓨터 비전과 딥러닝",오일석, ,2023-01-05,664,39000
리더십 : 이론과 실제 (9판),Peter G. Northouse,김남현,2023-01-02,660,36000
"IT CookBook, JAVA 마스터",송미영, ,2023-01-01,732,30000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍(2판)",최성철, ,2023-01-01,540,30000
"IT CookBook, 생활 속 예제로 배우는 생생 데이터 분석",조인석, ,2023-01-01,428,23000
"IT CookBook, 파워포인트 2019",김지연, ,2023-01-01,440,20000
메타버스로 구현하는 나만의 세상,"한규정, 최종원, 강신조, 심민정, 안형준, 위새람, 최동일", ,2023-01-01,388,23000
국제경영학 : 환경과 운영 (17판),"John D. Daniels, Lee H. Radebaugh, Daniel P. Sullivan, Reid W. Click","문정빈, 김태중, 노태우, 정선욱, 편주현",2022-12-30,716,41000
머신러닝을 위한 수학,이병준, ,2022-12-26,344,28000
위상수학 첫걸음,Fred H. Croom,"한빛수학교재연구소, 김상현(감수)",2022-12-26,380,29000
"IT CookBook, 전자기학 : ELECTROMAGNETICS (2판)","Arlon T. Adams, Jay Kyoon Lee(이재균), Jay Kyoon Lee  - 감수",유태훈,2022-12-25,576,35000
반도체 특강 : 소자편,진종문, ,2022-12-15,480,28000
"IT CookBook, 처음 만나는 자동제어공학(2판)",김성중, ,2022-12-05,288,23000
누구나 R 데이터 분석,이윤환, ,2022-10-20,436,27000
"STEM CookBook, 정수론 첫걸음",Kuldeep Singh,"한빛수학교재연구소, 김도형(감수)",2022-10-17,456,33000
"IT CookBook, C# 프로그래밍 for Beginner",우재남, ,2022-10-06,632,27000
R과 jamovi를 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀, ,2022-09-30,448,32000
글로벌 시장환경과 국제경영,"이장로, 신만수, 김창수", ,2022-09-26,564,40000
미래 세상의 모빌리티,"임덕신, 임현준", ,2022-09-15,280,23000
"IT CookBook, 처음 만나는 전력공학(2판)","박숭규, 최은혁, 최병숙", ,2022-09-02,440,27000
경영경제 통계학 4판 : Excel과 R의 실전적 활용,"Sanjiv Jaggia, Alison Kelly","장혜정, 이상규",2022-08-31,820,38000
4차 산업혁명 시대의 국제마케팅(8판),"이장로, 문희철, 이춘수", ,2022-08-30,452,29000
스마트 물류 비즈니스를 위한 글로벌 공급사슬관리(2판),"김종락, 김시영, 신건철", ,2022-08-30,320,29000
신제품 개발 관리,김종배, ,2022-08-30,412,29000
광고론(2판),김종배, ,2022-08-29,408,34000
"전략경영 : 개념과 사례, 경쟁우위 접근법 (제17판)","Fred R. David, Forest R. David, Meredith E. David","박재신, 신상윤, 김장훈",2022-08-25,612,39000
"STEM CookBook, 문제 해결력을 키우는 기계설계",이상범, ,2022-08-05,680,34000
경영분석(6판),"장영광, 송치승", ,2022-07-22,556,36000
"IT CookBook, 기초부터 시작하는 PLC : OMRON NX","정완보, 이진호", ,2022-07-18,636,32000
"IT CookBook, 원리로 이해하는 전력전자공학(2판)","원충연, 김영렬, 이택기, 류홍제, 故정용채", ,2022-07-11,588,30000
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",김선우, ,2022-06-30,600,32000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",박기현, ,2022-06-30,676,30000
"IT CookBook, 우분투 리눅스(3판)",이종원, ,2022-06-30,800,34000
거시경제학(3판),주상영, ,2022-06-30,640,36000
실용적 접근 방식의 경영학원론(10판),"Angelo Kinicki, Denise Breaux Soignet",김안드레아,2022-06-30,800,39000
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)","문호석, 손명호", ,2022-06-26,432,23000
"IT CookBook, 인터넷 해킹과 보안(4판)",김경곤, ,2022-06-25,456,29000
"IT CookBook, 파이썬 데이터 분석 for Beginner",우재남, ,2022-06-23,504,28000
"Strategic Management, 17th Edition","Fred R. David, Forest R. David, Meredith E. David", ,2022-06-22,672,79000
"IT CookBook, 엑셀 2019",김지연, ,2022-06-20,456,20000
"IT CookBook, 소프트웨어 공학 이론과 실제",홍장의, ,2022-06-10,528,33000
공학도라면 반드시 알아야 할 최소한의 수학(8판),John Bird,이재원,2022-06-10,432,25000
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",이영주, ,2022-05-20,512,30000
"STEM CookBook, 공학 기초수학(2판)",함남우, ,2022-05-02,484,22000
"STEM CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer, E. Russell Johnston, Jr., John T. DeWolf, David F. Mazurek","김경식, 박재균, 오창국, 이정휘",2022-03-22,772,39000
STEIN 푸리에 해석학,"ELIAS M. STEIN, RAMI SHAKARCHI","한빛수학교재연구소, 이상혁(감수)",2022-03-18,348,38000
미분적분학 : 기초부터 응용까지,수학교재편찬위원회, ,2022-03-04,680,35000
인공지능 시대의 문화기술,"두일철, 오세종", ,2022-03-02,444,22000
재무회계 with IFRS,"Jerry Weygandt, Paul Kimmel, Don Kieso",윤현철,2022-03-02,784,44000
