광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역
강원도,강릉시,47006,25199,21807,43830,211643,0.4975,True,False
강원도,고성군,5217,3175,2042,7755,26792,0.2633,True,False
강원도,동해시,18727,10469,8258,17572,89814,0.47,True,False
강원도,삼척시,13583,7469,6117,16077,65623,0.3805,True,False
강원도,속초시,18080,9909,8171,15170,81497,0.5386,False,False
강원도,양구군,5816,3611,2207,4558,22379,0.4842,True,False
강원도,양양군,4740,2678,2064,8083,27628,0.2554,True,False
강원도,영월군,6203,3493,2712,11051,38345,0.2454,True,False
강원도,원주시,90119,46821,43299,51187,349361,0.8459,False,False
강원도,인제군,8018,4963,3057,6300,31502,0.4852,True,False
강원도,정선군,6046,3430,2617,9750,36313,0.2684,True,False
강원도,철원군,10704,6498,4206,9872,44768,0.4261,True,False
강원도,춘천시,71296,37087,34211,48578,279745,0.7042,False,False
강원도,태백시,7685,4203,3482,10034,42288,0.347,True,False
강원도,평창군,6654,3730,2925,11392,41489,0.2568,True,False
강원도,홍천군,12874,7362,5513,17500,68652,0.315,True,False
강원도,화천군,6754,4372,2382,5404,24704,0.4408,True,False
강원도,횡성군,7436,4067,3369,13230,46150,0.2546,True,False
경기도,가평군,11954,6642,5313,15645,61675,0.3396,True,False
경기도,과천시,16507,8549,7958,8298,59891,0.959,False,False
경기도,광명시,82287,42296,39992,40679,304481,0.9831,False,False
경기도,광주시,102920,53982,48938,48272,374979,1.0138,False,False
경기도,구리시,54028,27440,26590,25597,196379,1.0388,False,False
경기도,군포시,76889,39942,36948,34645,272796,1.0665,False,False
경기도,권선구,113900,59404,54496,39664,367862,1.3739,False,False
경기도,기흥구,115749,58099,57650,54347,436038,1.0608,False,False
경기도,김포시,123044,61783,61263,54750,453048,1.119,False,False
경기도,남양주시,173840,87889,85953,95826,702635,0.897,False,False
경기도,단원구,89533,48207,41327,30205,301918,1.3682,False,False
경기도,덕양구,128811,65799,63013,66283,467051,0.9507,False,False
경기도,동두천시,21377,11348,10030,18298,92585,0.5481,False,False
경기도,동안구,88725,45251,43476,35939,314107,1.2097,False,False
경기도,만안구,68402,35883,32519,36484,239293,0.8913,False,False
경기도,부천시,235658,121267,114391,106461,816254,1.0745,False,False
경기도,분당구,136525,67109,69419,58204,480686,1.1927,False,False
경기도,상록구,100786,53985,46801,38060,345097,1.2297,False,False
경기도,수정구,69548,36794,32754,36055,234559,0.9084,False,False
경기도,수지구,97248,47435,49813,46884,369842,1.0625,False,False
경기도,시흥시,142694,76874,65820,43659,483807,1.5076,False,False
경기도,안성시,45116,24681,20437,31515,183828,0.6485,False,False
경기도,양주시,54362,28601,25761,34524,224618,0.7462,False,False
