ID,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,y,x,20-30대 성비율
강릉,강원도,강릉시,47006,25199,21807,43830,211643,0.4975,1,0,3,11,-0.1346085162109607
고성(강원),강원도,고성군,5217,3175,2042,7755,26792,0.2633,1,0,0,10,-0.3568503937007874
동해,강원도,동해시,18727,10469,8258,17572,89814,0.47,1,0,4,11,-0.2111949565383513
삼척,강원도,삼척시,13583,7469,6117,16077,65623,0.3805,1,0,5,11,-0.18101486142723255
속초,강원도,속초시,18080,9909,8171,15170,81497,0.5386,0,0,1,10,-0.17539610455141785
양구,강원도,양구군,5816,3611,2207,4558,22379,0.4842,1,0,0,9,-0.3888119634450291
양양,강원도,양양군,4740,2678,2064,8083,27628,0.2554,1,0,2,10,-0.22927557879014193
영월,강원도,영월군,6203,3493,2712,11051,38345,0.2454,1,0,6,10,-0.22359003721729176
원주,강원도,원주시,90119,46821,43299,51187,349361,0.8459,0,0,5,10,-0.07522265650028837
인제,강원도,인제군,8018,4963,3057,6300,31502,0.4852,1,0,1,9,-0.384041910134999
정선,강원도,정선군,6046,3430,2617,9750,36313,0.2684,1,0,4,10,-0.23702623906705544
철원,강원도,철원군,10704,6498,4206,9872,44768,0.4261,1,0,0,7,-0.3527239150507848
춘천,강원도,춘천시,71296,37087,34211,48578,279745,0.7042,0,0,1,8,-0.07754738857281529
태백,강원도,태백시,7685,4203,3482,10034,42288,0.347,1,0,7,10,-0.17154413514156552
평창,강원도,평창군,6654,3730,2925,11392,41489,0.2568,1,0,3,10,-0.21581769436997322
홍천,강원도,홍천군,12874,7362,5513,17500,68652,0.315,1,0,2,8,-0.25115457756044557
화천,강원도,화천군,6754,4372,2382,5404,24704,0.4408,1,0,0,8,-0.4551692589204026
횡성,강원도,횡성군,7436,4067,3369,13230,46150,0.2546,1,0,2,9,-0.17162527661667082
가평,경기도,가평군,11954,6642,5313,15645,61675,0.3396,1,0,3,7,-0.20009033423667566
과천,경기도,과천시,16507,8549,7958,8298,59891,0.959,0,0,8,6,-0.06913089250204707
광명,경기도,광명시,82287,42296,39992,40679,304481,0.9831,0,0,4,3,-0.05447323623983358
광주,경기도,광주시,102920,53982,48938,48272,374979,1.0138,0,0,7,9,-0.09343855359193809
구리,경기도,구리시,54028,27440,26590,25597,196379,1.0388,0,0,3,8,-0.030976676384839696
군포,경기도,군포시,76889,39942,36948,34645,272796,1.0665,0,0,9,4,-0.07495869010064593
수원 권선,경기도,권선구,113900,59404,54496,39664,367862,1.3739,0,0,9,6,-0.08262069894283208
용인 기흥,경기도,기흥구,115749,58099,57650,54347,436038,1.0608,0,0,9,9,-0.007728188092738231
김포,경기도,김포시,123044,61783,61263,54750,453048,1.119,0,0,4,2,-0.008416554715698465
남양주,경기도,남양주시,173840,87889,85953,95826,702635,0.897,0,0,2,7,-0.022027785047047943
안산 단원,경기도,단원구,89533,48207,41327,30205,301918,1.3682,0,0,9,3,-0.14271786255108176
고양 덕양,경기도,덕양구,128811,65799,63013,66283,467051,0.9507,0,0,3,4,-0.04234106901320689
동두천,경기도,동두천시,21377,11348,10030,18298,92585,0.5481,0,0,1,4,-0.11614381388790973
안양 동안,경기도,동안구,88725,45251,43476,35939,314107,1.2097,0,0,6,3,-0.03922565247176857
안양 만안,경기도,만안구,68402,35883,32519,36484,239293,0.8913,0,0,5,3,-0.09374912911406519
부천,경기도,부천시,235658,121267,114391,106461,816254,1.0745,0,0,5,2,-0.056701328473533597
성남 분당,경기도,분당구,136525,67109,69419,58204,480686,1.1927,0,0,8,7,0.034421612600396445
안산 상록,경기도,상록구,100786,53985,46801,38060,345097,1.2297,0,0,8,3,-0.133074002037603
성남 수정,경기도,수정구,69548,36794,32754,36055,234559,0.9084,0,0,8,8,-0.1098005109528728
용인 수지,경기도,수지구,97248,47435,49813,46884,369842,1.0625,0,0,9,8,0.05013175924949942
시흥,경기도,시흥시,142694,76874,65820,43659,483807,1.5076,0,0,7,3,-0.14379374040637927
안성,경기도,안성시,45116,24681,20437,31515,183828,0.6485,0,0,11,6,-0.17195413475953158
양주,경기도,양주시,54362,28601,25761,34524,224618,0.7462,0,0,1,3,-0.09929722736967239
양평,경기도,양평군,21352,11250,10102,29181,116778,0.3462,1,0,3,9,-0.1020444444444445
여주,경기도,여주시,23752,12742,11011,23545,110689,0.4677,1,0,4,9,-0.1358499450635693
연천,경기도,연천군,9636,5819,3819,11047,43105,0.3457,1,0,1,5,-0.3437016669530847
수원 영통,경기도,영통구,122387,62736,59653,25795,367134,2.3126,0,0,9,7,-0.04914243815353225
오산,경기도,오산시,70077,37702,32375,20946,226810,1.5456,0,0,10,4,-0.1412922391385072
의왕,경기도,의왕시,45389,23664,21727,21260,161142,1.022,0,0,9,5,-0.08185429344151451
